brand,count
Canyon,411
Cervelo,339
Trek,256
Specialized,195
BMC,109
Giant/Liv/CADEX,96
Argon 18,89
Felt,72
Scott,68
Quintana Roo,60
Lapierre,45
Cube,43
Orbea,23
Pinarello,21
Ventum,20
Wilier,20
Factor,19
Dimond,15
Fuji,12
Kuota,9
Look,9
Colnago,9
Ceepo,8
Rose,7
Ku,6
Focus,6
Ridley,6
Stevens,5
BH,5
Ribble,4
